mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,158,158,(4;6;1),WS 2 (Port 1),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
2,0,return,158,158,WS 2 (Port 1),(0;0;7),193,268,268.0,30.0 + 15.0 + 30.0
3,1,target,160,160,(4;4;1),WS 2 (Port 2),40,165,165.0,30.0 + 55.0 + 30.0 + 10.0
4,1,return,160,160,WS 2 (Port 2),(0;0;6),173,298,298.0,30.0 + 65.0 + 30.0
5,2,target,161,161,(4;3;1),WS 2 (Port 3),35,155,155.0,30.0 + 50.0 + 30.0 + 10.0
6,2,return,161,161,WS 2 (Port 3),(0;0;5),163,328,328.0,30.0 + 105.0 + 30.0
7,0,target,162,162,(4;2;1),WS 2 (Port 1),298,413,413.0,30.0 + 45.0 + 30.0 + 10.0
8,0,return,162,162,WS 2 (Port 1),(0;0;4),421,496,496.0,30.0 + 15.0 + 30.0
9,1,target,163,163,(4;1;1),WS 2 (Port 2),323,433,433.0,30.0 + 40.0 + 30.0 + 10.0
10,1,return,163,163,WS 2 (Port 2),(0;0;3),441,526,526.0,30.0 + 25.0 + 30.0
11,2,target,164,164,(4;0;1),WS 2 (Port 3),348,453,453.0,30.0 + 35.0 + 30.0 + 10.0
12,2,return,164,164,WS 2 (Port 3),(0;0;2),461,556,556.0,30.0 + 35.0 + 30.0
